"key","type","severity","status","resolution","message","component","line","rule","cwe","effort","creationDate","updateDate","author","tags"
"6d2590f2-dbcd-4d96-ae06-ec158807672c","CODE_SMELL","MAJOR","OPEN",,"Empty source","techCamp-proyecto:src/App.css","1","css:S4667","","1min","2026-08-31T00:35:15+0000","2026-08-31T00:35:15+0000","",""
"acc9aceb-a43a-4b5d-8d79-f6a9b0d837af","CODE_SMELL","MAJOR","OPEN",,"Empty source","techCamp-proyecto:src/components/molecules/FormField/FormField.module.css","1","css:S4667","","1min","2026-08-31T00:35:15+0000","2026-08-31T00:35:15+0000","",""
"1e10a06f-1074-4033-9260-498c5571dfb8","CODE_SMELL","MAJOR","OPEN",,"Empty source","techCamp-proyecto:src/components/pages/Recipes/UnitsQuantities/UnitsQuantities.module.css","1","css:S4667","","1min","2026-08-31T00:35:15+0000","2026-08-31T00:35:15+0000","",""
"c65c53cb-c794-43dd-a0d5-df53b443be52","BUG","CRITICAL","OPEN",,"Overridden property ""margin-left"" by shorthand ""margin""","techCamp-proyecto:src/components/organisms/RecipesCarrusel/RecipesCarrusel.module.css","7","css:S4657","","5min","2025-05-20T03:43:17+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com",""
"19ccb426-533f-496a-87b9-e015e234d5f6","CODE_SMELL","MAJOR","OPEN",,"Do not use Array index in keys","techCamp-proyecto:src/components/molecules/RecipeDetail/RecipeDetail.tsx","42","typescript:S6479","","5min","2025-05-16T02:07:21+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","performance;react;jsx"
"44ebe979-5c44-4a31-a30a-6d7cdbdef21b","CODE_SMELL","MINOR","OPEN",,"'isOpen' PropType is defined but prop is never used","techCamp-proyecto:src/components/organisms/FormModal/FormModal.tsx","6","typescript:S6767","","5min","2025-05-16T02:07:21+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","editable-source;type-dependent;react"
"0dc125ee-3264-421b-a267-0c2fff082398","CODE_SMELL","MINOR","OPEN",,"'title' PropType is defined but prop is never used","techCamp-proyecto:src/components/organisms/FormModal/FormModal.tsx","9","typescript:S6767","","5min","2025-05-16T02:07:21+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","editable-source;type-dependent;react"
"ae741679-6363-4f14-84c7-71883e7645f1","CODE_SMELL","MAJOR","OPEN",,"Text does not meet the minimal contrast requirement with its background.","techCamp-proyecto:src/components/pages/Recipes/MyRecipes/MyRecipes.module.css","19","css:S7924","","5min","2025-05-16T02:07:21+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","css;accessibility;wcag;contrast"
"934c96cf-b9be-40de-adda-c0ea2ec666a3","CODE_SMELL","MINOR","OPEN",,"Deprecated keyword ""break-word"" for property ""word-break""","techCamp-proyecto:src/components/pages/Recipes/MyRecipes/MyRecipes.module.css","28","css:S1874","","15min","2025-05-16T02:07:21+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","cwe;obsolete"
"ead45632-97fd-4a6b-bf99-824a06f84011","CODE_SMELL","MAJOR","OPEN",,"Add an explicit ""type"" attribute to this button.","techCamp-proyecto:src/components/organisms/RecipesCarrusel/RecipesCarrusel.tsx","43","typescript:S9011","","2min","2025-05-15T20:17:12+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","vue;react"
"f3ab7f81-42ae-4937-9421-9631531a29f6","CODE_SMELL","MAJOR","OPEN",,"Add an explicit ""type"" attribute to this button.","techCamp-proyecto:src/components/organisms/RecipesCarrusel/RecipesCarrusel.tsx","68","typescript:S9011","","2min","2025-05-15T20:17:12+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","vue;react"
"7d5a3265-0917-4c8d-a179-207e71d58681","CODE_SMELL","MINOR","OPEN",,"Prefer `node:path` over `path`.","techCamp-proyecto:vite.config.ts","4","typescript:S7772","","5min","2025-05-14T16:42:58+0000","2026-08-31T01:08:53+0000","andrader.johanna@gmail.com","convention;import;editable-source;nodejs"
"30615709-a815-40b5-9184-ab669f5e61d8","CODE_SMELL","MINOR","OPEN",,"Use the ""RegExp.exec()"" method instead.","techCamp-proyecto:backend/src/utils/openAI.helpers.ts","4","typescript:S6594","","5min","2025-05-10T03:15:01+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","regex;editable-source;type-dependent"
"ea83199b-fb46-495f-abf5-b54c493fa711","CODE_SMELL","MAJOR","OPEN",,"Do not use Array index in keys","techCamp-proyecto:src/components/molecules/RecipeDetail/RecipeDetail.tsx","55","typescript:S6479","","5min","2025-05-10T03:15:01+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","performance;react;jsx"
"280ea982-4e10-4589-8aa9-94e6d9e029b0","CODE_SMELL","MINOR","OPEN",,"Mark the props of the component as read-only.","techCamp-proyecto:src/components/molecules/ProductForm/ProductForm.tsx","14","typescript:S6759","","5min","2025-05-07T04:11:06+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","type-dependent;react"
"03a3dd99-35b6-49cf-82ff-86b4946735b4","CODE_SMELL","MINOR","OPEN",,"Prefer `Number.parseFloat` over `parseFloat`.","techCamp-proyecto:src/components/molecules/ProductForm/ProductForm.tsx","91","typescript:S7773","","2min","2025-05-07T04:11:06+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","convention;es2015;editable-source"
"c1af4b82-ceed-4154-9a8c-b600cb2ec059","BUG","CRITICAL","OPEN",,"Overridden property ""border-color"" by shorthand ""border""","techCamp-proyecto:src/components/organisms/ProductsListTable/ProductsListTable.module.css","30","css:S4657","","5min","2025-05-06T03:16:49+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com",""
"4de0774b-2036-4c6a-9437-2027dbc9f386","CODE_SMELL","MAJOR","OPEN",,"Simplify this regular expression to reduce its runtime, as it has super-linear performance due to backtracking.","techCamp-proyecto:backend/src/utils/openAI.helpers.ts","9","typescript:S8786","","20min","2025-05-03T02:19:53+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","regex;performance"
"770d2845-a794-41af-8e64-b98862d5a14b","CODE_SMELL","MINOR","OPEN",,"Use the ""RegExp.exec()"" method instead.","techCamp-proyecto:backend/src/utils/openAI.helpers.ts","9","typescript:S6594","","5min","2025-05-03T02:19:53+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","regex;editable-source;type-dependent"
"b92fad6f-8bb3-45a4-91e2-151444bc8d8d","CODE_SMELL","MINOR","OPEN",,"Use the ""RegExp.exec()"" method instead.","techCamp-proyecto:backend/src/utils/openAI.helpers.ts","20","typescript:S6594","","5min","2025-05-03T02:19:53+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","regex;editable-source;type-dependent"
"99bad201-9bab-4fca-88b3-7b3129f105b8","CODE_SMELL","MAJOR","OPEN",,"Text does not meet the minimal contrast requirement with its background.","techCamp-proyecto:src/components/molecules/RecipeForm/RecipeForm.module.css","189","css:S7924","","5min","2025-05-02T16:15:16+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","css;accessibility;wcag;contrast"
"4d8c3d6d-16e8-4994-8135-97b76d96ce67","CODE_SMELL","MAJOR","OPEN",,"A form label must be associated with a control.","techCamp-proyecto:src/components/molecules/RecipeForm/RecipeForm.tsx","229","typescript:S6853","","5min","2025-05-02T16:15:16+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","accessibility;react"
"8bcc9e8b-760f-4fc6-ae69-5773163429ee","CODE_SMELL","MINOR","OPEN",,"Mark the props of the component as read-only.","techCamp-proyecto:src/components/organisms/FormModal/FormModal.tsx","12","typescript:S6759","","5min","2025-04-30T15:31:36+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","type-dependent;react"
"5525e60e-07cf-4824-88a5-5b4ce74d3b44","CODE_SMELL","MAJOR","OPEN",,"Add an explicit ""type"" attribute to this button.","techCamp-proyecto:src/components/organisms/FormModal/FormModal.tsx","25","typescript:S9011","","2min","2025-04-30T15:31:36+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","vue;react"
"8f1be489-ad40-4728-aba2-9e0cb10e7510","CODE_SMELL","MAJOR","OPEN",,"A form label must be associated with a control.","techCamp-proyecto:src/components/molecules/ProductForm/ProductForm.tsx","201","typescript:S6853","","5min","2025-04-30T15:30:53+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","accessibility;react"
"c90dd757-e58d-4ec8-adb4-a2de74e3aa6c","BUG","MINOR","OPEN",,"Visible, non-interactive elements with click handlers must have at least one keyboard listener.","techCamp-proyecto:src/components/organisms/Header/Header.tsx","51","typescript:S1082","","5min","2025-04-29T22:00:56+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","accessibility;react"
"d5533bc9-2747-42dc-95bf-1c351c1fa6b4","CODE_SMELL","MAJOR","OPEN",,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.","techCamp-proyecto:src/components/organisms/Header/Header.tsx","51","typescript:S6848","","5min","2025-04-29T22:00:56+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","accessibility;react"
"3172edf4-4d27-4852-8857-bf4de873d894","CODE_SMELL","MAJOR","OPEN",,"Add an explicit ""type"" attribute to this button.","techCamp-proyecto:src/components/organisms/Header/Header.tsx","63","typescript:S9011","","2min","2025-04-29T22:00:56+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","vue;react"
"cf4367b5-274b-401e-b81e-e28c5e6b965b","CODE_SMELL","MINOR","OPEN",,"Mark the props of the component as read-only.","techCamp-proyecto:src/components/molecules/EditProductModal/EditProductModal.tsx","17","typescript:S6759","","5min","2025-04-25T17:53:40+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","type-dependent;react"
"22cee801-b38b-4432-9baf-e9bf9cec84c8","CODE_SMELL","CRITICAL","OPEN",,"Remove this duplicated type or replace with another one.","techCamp-proyecto:src/components/molecules/FormField/FormField.tsx","14","typescript:S4621","","1min","2025-04-25T17:53:40+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com",""
"a0c6af05-7d32-4369-8d4a-6a8c44c5e10e","CODE_SMELL","MINOR","OPEN",,"Mark the props of the component as read-only.","techCamp-proyecto:src/components/molecules/ProductCard/ProductCard.tsx","15","typescript:S6759","","5min","2025-04-25T17:53:40+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","type-dependent;react"
"38041d83-9ad8-4a2d-82af-5cd9f1eb91be","CODE_SMELL","MINOR","OPEN",,"Prefer `Number.isNaN` over `isNaN`.","techCamp-proyecto:src/components/molecules/ProductCard/ProductCard.tsx","63","typescript:S7773","","2min","2025-04-25T17:53:40+0000","2026-08-31T00:35:15+0000","andrader.johanna@gmail.com","convention;es2015;editable-source"
